intent_id,strategy_decision_id,signal_close_utc,decision_time_utc,execution_time_utc,split,strategy_reason,target_weight,pre_trade_equity_cad,requested_delta_cad,rebalance_band_cad,outcome,trade_id,remaining_btc_after_attempt
intent_596d8823f663eca50a2f4cae,cfbebd306a50eb199b693610d6ac1c03cce63d50947cfe1444dbe29435776781,2022-06-23T00:00:00Z,2022-06-23T00:15:00Z,2022-06-23T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_2ebe2e9a6e6c8fdc50763c71,b968b1ba291c2e236d76c1cd445fef7f0a9011336eac56aeb9bd10ad6f3af3be,2022-06-24T00:00:00Z,2022-06-24T00:15:00Z,2022-06-24T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_04d3e7b66fa0d10d407ec7b7,b1f522955fe10c3a1165e6a3a61c77b8e412beac50817cc614b57de41f82d4b3,2022-06-25T00:00:00Z,2022-06-25T00:15:00Z,2022-06-25T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_23a29bbf68c92b5de5e423cd,5b5dce90d36398c65ede07bce72c14324fd77bc0335d9942cab4164831daaffd,2022-06-26T00:00:00Z,2022-06-26T00:15:00Z,2022-06-26T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_6af2c613e3a5a650fb480cee,465c03a70878cba8ab0c8f3c5a7bc28aada3b8c3657e0d3d3e5b2514c202e52e,2022-06-27T00:00:00Z,2022-06-27T00:15:00Z,2022-06-27T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_718bb006cdbb0ea477b7bff0,c6df151cebd450e147beaca3afc1c9e84b0111e7363ef9af8e621b59a02a4551,2022-06-28T00:00:00Z,2022-06-28T00:15:00Z,2022-06-28T00:20:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_1240b9e937ea7be25e8d5fd8,8f9e0deb71a89f507d74798839b8064f989229e69a818887895f2098bf601af2,2022-06-29T00:00:00Z,2022-06-29T00:15:00Z,2022-06-29T00:20:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_d48bd409a99c5b2da03e094f,5a980f10ad7e52f3d0705acb6c311dbba341354fb36fe530f8aef4ce1ca0a51b,2022-06-30T00:00:00Z,2022-06-30T00:15:00Z,2022-06-30T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_92deb1c018ea9a82fbf8eeb6,daba9913f738c30e8c1a1dc11b828d5dd95a3b84ae5ce728a60e5cfa6210cfa2,2022-07-01T00:00:00Z,2022-07-01T00:15:00Z,2022-07-01T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_21275e6aec177b752f23b984,61fca4721cfd1c078ff733603d1c5cb620059f2bf305dd5146fe74b7d64a6f25,2022-07-02T00:00:00Z,2022-07-02T00:15:00Z,2022-07-02T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_da433e3876c8c62f29d46391,70ad3ba473d994dcc07ac2abd57eaffb3ec59898560acbd4c1c9faabadc4ec41,2022-07-03T00:00:00Z,2022-07-03T00:15:00Z,2022-07-03T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_b88e1c2062948f1e26fe19d4,c1183cb4909cc01f9776775aeef3156260a5f1bfe6e8d79093c3ead8fd19d55e,2022-07-04T00:00:00Z,2022-07-04T00:15:00Z,2022-07-04T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_77bb81f1ab0f2b4ea058798d,a93c32827bbe9d7e16e1ef0a68a31a55d320bb4baf374e85f7efae80c30d11a7,2022-07-05T00:00:00Z,2022-07-05T00:15:00Z,2022-07-05T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_75970718a951cfe45e9ca2bd,1269f4ba82ad265ec3c025bfc0f598bf7597425aae60202d3e47cfeb7f11e6f3,2022-07-06T00:00:00Z,2022-07-06T00:15:00Z,2022-07-06T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_3435e237604bba54eb9a46b4,301f44eb1cc028c6219278588fa910f7f1d6904a2a4ce9a94fbd558857027d79,2022-07-07T00:00:00Z,2022-07-07T00:15:00Z,2022-07-07T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_22b7eb1029fa5ffb4d7b1494,7e8708a1391ea660b4fa4ab252c78dc6d2dc33a1d5fb3ecd106f8f32b4820244,2022-07-08T00:00:00Z,2022-07-08T00:15:00Z,2022-07-08T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_c9819702e4cd8d52efe758f7,6a9e1a572190428af89a6b1bbf326e4c61418ffa9a06245c43b405d10f6ef289,2022-07-09T00:00:00Z,2022-07-09T00:15:00Z,2022-07-09T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_fd11a36960a193826f26bfd5,88a6feb9212dd43a147a02ad9af2188ba63dcba0100a1dbbc8a86a8bae9bcb4c,2022-07-10T00:00:00Z,2022-07-10T00:15:00Z,2022-07-10T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_13b91732a11375accfdade48,a1612f8fc98ef630da33dda811366d1d7d1a108d18e2ecd48027ca37dc611a2f,2022-07-11T00:00:00Z,2022-07-11T00:15:00Z,2022-07-11T00:18:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_97092f036b3f7bcb1c357810,0efc10b40cb7ee8fa4c96750ab90ad7c1cc4186047e46b6934826b2a27e5f6eb,2022-07-12T00:00:00Z,2022-07-12T00:15:00Z,2022-07-12T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_878408cf22f2aea4ed472307,f4fff37b0c61ff0532bd74ef2b1ae8a90b77d0edcd8d5a6506b3174653813b89,2022-07-13T00:00:00Z,2022-07-13T00:15:00Z,2022-07-13T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_418040bda74baec3510ff5ac,0b3fb95928f016954526b7877be14888daf651ae28e05b88a7fd212634b217df,2022-07-14T00:00:00Z,2022-07-14T00:15:00Z,2022-07-14T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_1409229b4bf95e22f86c7579,36ce010a82f81a7a2e3edda8cb2d7dc68b81340c3dd2b34f69ff969ea319f9f8,2022-07-15T00:00:00Z,2022-07-15T00:15:00Z,2022-07-15T00:18:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_d5bbd817a8c46a8bf0386a16,cd5873214a5a8255b25edb9fd32769d3d099c464bdad1036875d6ee45e80cf0a,2022-07-16T00:00:00Z,2022-07-16T00:15:00Z,2022-07-16T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_230f823043d34f39989bed23,ed27172af3e24643e5001de71649b4636f550adef654b1dd33b87b9186073b95,2022-07-17T00:00:00Z,2022-07-17T00:15:00Z,2022-07-17T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_26725fd2c45ec5fb7a78c3d9,01a5245ac43adc315db0367530eb554fc6877840c0279bc4cfc9558ceafc6fd2,2022-07-18T00:00:00Z,2022-07-18T00:15:00Z,2022-07-18T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_54ce5282343ce613b9cc8626,78f6c1891d4d7dd1ba375fef465f0c5c0851c18b6f486b6c921db8875c3914a2,2022-07-19T00:00:00Z,2022-07-19T00:15:00Z,2022-07-19T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_3d80600ee4f47845d2b04f1c,0cb7d6871a7bddbe38648ac321da6f9b5a63dddaa4d64602ef66d5b56a7b97a5,2022-07-20T00:00:00Z,2022-07-20T00:15:00Z,2022-07-20T00:20:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_d1116003146dd1eb1270b062,2e1166a2eaa3ebb5a8b38a4ae93702a643fa344532f1a9a3aee3b1f22e5791c0,2022-07-21T00:00:00Z,2022-07-21T00:15:00Z,2022-07-21T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_ea99a4d9cf4f5442ac7bfb23,3c83f438ba0a02e99977dbfb50c0d8bca4214bd98b5ceeeec194af8b85624a46,2022-07-22T00:00:00Z,2022-07-22T00:15:00Z,2022-07-22T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_59a19098dd416e16e537bb8d,38b4cb593590424b0e5e969e92bf91bf494b7fbcffe9241aee9ae9fc1ae269bb,2022-07-23T00:00:00Z,2022-07-23T00:15:00Z,2022-07-23T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_46232b9ad146f7c37efe21ae,6459fe9fe02899616baf7ddd485256ed1cce5666f1396ed54881321ea613dd24,2022-07-24T00:00:00Z,2022-07-24T00:15:00Z,2022-07-24T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_e1cb94b278eda07e5691a239,fc4626c91e2324d246fb4de608d6c8e5ae9d1b2066b3559d156715e802c1d0e0,2022-07-25T00:00:00Z,2022-07-25T00:15:00Z,2022-07-25T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_bbd3ccfafe8e56919366a0d7,89322054dffc2538c8c0f1e0401c6b56035e8f799e1c722a8eaf56b141422621,2022-07-26T00:00:00Z,2022-07-26T00:15:00Z,2022-07-26T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_4761528d75741bc35344bf62,546a16c03bb4e9f876eb1ac610860b49ab7019133b036c35ea14b91ab7092734,2022-07-27T00:00:00Z,2022-07-27T00:15:00Z,2022-07-27T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_9cf5c285a243c90800b38c7c,53a2da828e0c909b5f3bd6a19da285c1680eff3121603423407e0bd15c703c7e,2022-07-28T00:00:00Z,2022-07-28T00:15:00Z,2022-07-28T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_a3719d4bc0edecfe3afeceb9,d54dcb853655d642846532fc92b2ce7a95c02620bc6e23a7a7933c3bc024467f,2022-07-29T00:00:00Z,2022-07-29T00:15:00Z,2022-07-29T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_d79dd9ef8bfa90da69556293,5c1f1ca597ef25e2f56ac6943199a2f8c98ea2a389139467383a6ead584a5733,2022-07-30T00:00:00Z,2022-07-30T00:15:00Z,2022-07-30T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_3bc6b01013bdf432d4c38b51,0829807e40a659a23b134bb0d55face8fd6c0b50856ca6c82eb1e2f55a314d02,2022-07-31T00:00:00Z,2022-07-31T00:15:00Z,2022-07-31T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_107b15e8df0890c9a2161b4b,2c6d5c793aef1175db8c4315f52cb9bad943b80b831e8ffdcc97aefa58b79879,2022-08-01T00:00:00Z,2022-08-01T00:15:00Z,2022-08-01T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_64577a1688af19b151e00a1e,c65eb5c4dfd77aca368156451cf5eb5c1ead69fc4a32fb89f98c8900af10cd19,2022-08-02T00:00:00Z,2022-08-02T00:15:00Z,2022-08-02T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_d63c6beef3ce4628cd5ef7a1,385ddb5a3c168558758bf70a1fe6316675752f8609e5e0af007dc6d23833f951,2022-08-03T00:00:00Z,2022-08-03T00:15:00Z,2022-08-03T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_d685d75559b03f162016d2ad,0e0ffef2080e92501c8fc36632332f72b8941864d113cee6b6493c5e2688c2c7,2022-08-04T00:00:00Z,2022-08-04T00:15:00Z,2022-08-04T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_a6a8d22d73f44968df532a81,36f190582c3ae6109095f8f42295136104dfc66efde4f0c1280e5f49d9e5711b,2022-08-05T00:00:00Z,2022-08-05T00:15:00Z,2022-08-05T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_510e512d3cd6311d1333cc18,ea8198a1a14811d263258fc43e64b58b97291bd4fe713add5b156e660b35ed9f,2022-08-06T00:00:00Z,2022-08-06T00:15:00Z,2022-08-06T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_0d345751dc7999c3a1c28e01,4e2d6643657e1674eaecf3c2f77ed268ee588696dbc163129499bba61c3fde53,2022-08-07T00:00:00Z,2022-08-07T00:15:00Z,2022-08-07T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_161dab6bf6806d1f4d7cc83c,983766c8fcfb026d8de0c9faee1d828dbc11fe1b57a5c2bcdf6a6d676ecac5ce,2022-08-08T00:00:00Z,2022-08-08T00:15:00Z,2022-08-08T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_63f3f08be762bc3b7bbbea86,a05e11f2ec46fee033fd6b2e8732e927e0c701d119a2cb604db0fd0fd7587f13,2022-08-09T00:00:00Z,2022-08-09T00:15:00Z,2022-08-09T00:18:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_3ecf52256482a8c79fa8fd4a,1f0d02dc9cf43972e15b5769bf5f7bda5f5d89708a4b09675713fd85256c8c29,2022-08-10T00:00:00Z,2022-08-10T00:15:00Z,2022-08-10T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_5d73b831694f9c7e823adaf4,09243211342b08772f43dadf55d19817ec9139be1024db8c5fa91c60f7727e86,2022-08-11T00:00:00Z,2022-08-11T00:15:00Z,2022-08-11T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_01aa6ec466b6d585ba8739d9,0e3175a7ab01d8c1c5e471c22698ff8e63dae394a388b975c03c15d1c507a350,2022-08-12T00:00:00Z,2022-08-12T00:15:00Z,2022-08-12T00:18:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_491c67b8661f03c4a4716b73,c2c5ff381d0c990ff313b2a422a03fa318484f212e31c6c6b69d292cfc3317d7,2022-08-13T00:00:00Z,2022-08-13T00:15:00Z,2022-08-13T00:20:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_aceefd0131afde39e8848aa1,ca19919375bbacc9de3387291d8850b79d11eb16725091ce9a6f2675cf7074f9,2022-08-14T00:00:00Z,2022-08-14T00:15:00Z,2022-08-14T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_1d65ea77ea43a6193bb590f5,c685040f5a588524f17484d79f5a531fde31172f2dac5719ff9a760ee036844a,2022-08-15T00:00:00Z,2022-08-15T00:15:00Z,2022-08-15T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_bf043c2ceca0a693d76385ee,56a8bbe2369baed3a710fee758bed023ac0d9576da4e7d3dc6e75d80391a3e22,2022-08-16T00:00:00Z,2022-08-16T00:15:00Z,2022-08-16T00:18:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_86018571c9e117a63de995ce,61ea0b2fd3a4162f2550c55bb263f4d279503daecc4d5b3a0995ddf5241697af,2022-08-17T00:00:00Z,2022-08-17T00:15:00Z,2022-08-17T00:19:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_829dada1835286487c41ca0d,8ee267fa350eb69040572aa54927bd6e663e42b412453a481398760a87a57d82,2022-08-18T00:00:00Z,2022-08-18T00:15:00Z,2022-08-18T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_6814f74d53ed21e99a1e761d,fce1e989f2e662506428b7822627021f6366853419ba45bca875865ace76fc0f,2022-08-19T00:00:00Z,2022-08-19T00:15:00Z,2022-08-19T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
