strategy,frequency,period_utc,return_fraction
fee_aware_btc_buy_and_hold,month,2024-11,0.381919386466284210478437613
fee_aware_btc_buy_and_hold,month,2024-12,-0.0072375625128456044661570109
fee_aware_btc_buy_and_hold,month,2025-01,0.110319292644136713957845371
fee_aware_btc_buy_and_hold,month,2025-02,-0.1811240686656891135055152485
fee_aware_btc_buy_and_hold,month,2025-03,-0.0299058249783869257121471114
fee_aware_btc_buy_and_hold,month,2025-04,0.096358279162554716018923363
fee_aware_btc_buy_and_hold,month,2025-05,0.107634042443548698526142798
fee_aware_btc_buy_and_hold,month,2025-06,0.012606685051594675047017241
fee_aware_btc_buy_and_hold,month,2025-07,0.101104795366409051614231951
fee_aware_btc_buy_and_hold,month,2025-08,-0.0719145746234384751959102642
fee_aware_btc_buy_and_hold,month,2025-09,0.066865654718415073392079829
fee_aware_btc_buy_and_hold,month,2025-10,-0.0331456612547258746480727245
fee_aware_btc_buy_and_hold,month,2025-11,-0.1775282699059400395924078618
fee_aware_btc_buy_and_hold,month,2025-12,-0.0500726396301662168757763578
close_above_sma200,year,2018,0
close_above_sma200,year,2019,0.465722102766336000000000022
close_above_sma200,year,2020,-0.0243997881780659427668053658
close_above_sma200,year,2021,0
close_above_sma200,year,2022,0
close_above_sma200,year,2023,0
close_above_sma200,year,2024,0
close_above_sma200,year,2025,0
close_above_sma200,month,2018-09,0
close_above_sma200,month,2018-10,0
close_above_sma200,month,2018-11,0
close_above_sma200,month,2018-12,0
close_above_sma200,month,2019-01,0
close_above_sma200,month,2019-02,0
close_above_sma200,month,2019-03,0
close_above_sma200,month,2019-04,0.064048456612512000000000001
close_above_sma200,month,2019-05,0.378721323717427248977833398
close_above_sma200,month,2019-06,0.110544289516627443966854936
close_above_sma200,month,2019-07,0.000060433105189548991490341
close_above_sma200,month,2019-08,-0.0110286240955320853907229318
close_above_sma200,month,2019-09,-0.06640810972156638573994559
close_above_sma200,month,2019-10,-0.0092374123555189596101733209
close_above_sma200,month,2019-11,-0.0165750579015336538404499916
close_above_sma200,month,2019-12,0
close_above_sma200,month,2020-01,-0.0012612711144185519959232662
close_above_sma200,month,2020-02,-0.0231677378621994038944454332
close_above_sma200,month,2020-03,0
close_above_sma200,month,2020-04,0
close_above_sma200,month,2020-05,0
close_above_sma200,month,2020-06,0
